"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","clip_length","dropout_channel","dropout_p","dropout_pixel","lr","model_type","num_workers","optimizer","output_variable","posenc","sampling_rate","scale","scheduler","temperature","warmup_epochs","weight_decay","epoch","lr-SGD","train/loss","train/mae","train/mse","train/r2","trainer/global_step","valid/loss","valid/mae","valid/mse","valid/r2"
"fourier_5.0","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19765","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","","5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5280505418777466","0.5029784440994263","0.5701172947883606","-0.021245718002319336","34949","0.5779188871383667","0.5051318407058716","0.5784406065940857","-0.021094679832458496"
"fourier_5.0","crashed","-","jabareen","","2024-03-01T10:28:29.000Z","86307","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","5","SchedulerType.WARMUPEXP","0","10","0","85","0.00010183101437903948","0.5527218580245972","0.5040006041526794","0.5707491040229797","-0.022296786308288578","20036","0.5772923231124878","0.5048178434371948","0.5768009424209595","-0.021948695182800293"
"fourier_5.0","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15261","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5709978938102722","0.5027279853820801","0.5697464346885681","-0.02093660831451416","34949","0.5767980217933655","0.5035578608512878","0.5765325427055359","-0.02060377597808838"
"fourier_1.0","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19786","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","","1","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5263920426368713","0.49952587485313416","0.5681561231613159","-0.017732739448547363","34949","0.5759681463241577","0.5017021298408508","0.5764902830123901","-0.017651796340942383"
"lfpe","finished","-","jabareen","","2024-02-28T11:06:31.000Z","19698","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LFPE","","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5263473987579346","0.4994807243347168","0.5681197643280029","-0.017667651176452637","34949","0.5759296417236328","0.5016534924507141","0.5764517784118652","-0.017583847045898438"
"fourier_1.0","crashed","-","jabareen","","2024-03-01T10:28:29.000Z","86317","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","1","SchedulerType.WARMUPEXP","0","10","0","85","0.00010183101437903948","0.5282971262931824","0.5009012222290039","0.5687716603279114","-0.018754959106445312","19898","0.5752584934234619","0.5017028450965881","0.5747630000114441","-0.01833808422088623"
"lfpe","crashed","-","jabareen","","2024-03-01T10:28:28.000Z","86317","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LFPE","1","0","SchedulerType.WARMUPEXP","0","10","0","86","0.00009877608394766828","0.6038767695426941","0.5013688802719116","0.5700805187225342","-0.01851475238800049","20039","0.5749692916870117","0.5017783045768738","0.5753492712974548","-0.018178343772888184"
"fourier_1.0","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15255","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","1","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5687370896339417","0.4997321367263794","0.5678409934043884","-0.017522215843200684","34949","0.5748519897460938","0.5005484819412231","0.5745869278907776","-0.017159461975097656"
"lfpe","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15231","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LFPE","1","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.569241464138031","0.4996732175350189","0.567791759967804","-0.017434000968933105","34949","0.5748152732849121","0.5004934072494507","0.5745500922203064","-0.01709425449371338"
"fourier_0.5","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19787","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","","0.5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5218726396560669","0.4916225671768189","0.5636138916015625","-0.00959634780883789","34949","0.5714201331138611","0.49380555748939514","0.5719414353370667","-0.009621977806091309"
"fourier_0.5","crashed","-","jabareen","","2024-03-01T10:28:30.000Z","86315","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","0.5","SchedulerType.WARMUPEXP","0","10","0","85","0.00010183101437903948","0.5460308194160461","0.4922841787338257","0.5636407136917114","-0.009564638137817385","20036","0.5700893998146057","0.4929891526699066","0.5695934891700745","-0.009178876876831056"
"fourier_0.5","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15231","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.FOURIER","1","0.5","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5636720061302185","0.4913538992404938","0.562883734703064","-0.008639335632324219","34949","0.5698976516723633","0.4921024739742279","0.5696343183517456","-0.00839221477508545"
"sincos_10000.0","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15202","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","1","0","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5771127343177795","0.4808364808559418","0.5598127245903015","-0.00008249282836914062","34949","0.5685833096504211","0.4825315475463867","0.5684080123901367","0.0004127621650695801"
"sincos_100000.0","finished","-","jabareen","","2024-03-01T19:14:48.000Z","15231","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","1","0","SchedulerType.WARMUPEXP","100000","10","0","149","0.00001449676380431657","0.5766457319259644","0.4805912971496582","0.5595165491104126","0.0004466176033020019","34949","0.5682995915412903","0.4822381138801574","0.5681232213973999","0.000913560390472412"
"sincos_10000.0","crashed","-","jabareen","","2024-03-01T10:28:30.000Z","86316","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","1","0","SchedulerType.WARMUPEXP","10000","10","0","85","0.00010183101437903948","0.54463791847229","0.4810803234577179","0.5598567128181458","-0.0005651712417602539","19904","0.5654894113540649","0.4820769131183624","0.5654026865959167","-0.00022804737091064453"
"sincos_100000.0","crashed","-","jabareen","","2024-03-01T10:28:30.000Z","86317","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","1","0","SchedulerType.WARMUPEXP","100000","10","0","85","0.00010183101437903948","0.6090272665023804","0.48073363304138184","0.5595601797103882","-0.00003528594970703125","19901","0.5652045607566833","0.48172569274902344","0.5651180744171143","0.0002753734588623047"
"sincos_10000.0","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19765","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","","0","SchedulerType.WARMUPEXP","10000","10","0","149","0.00001449676380431657","0.5768553018569946","0.47993341088294983","0.5570842027664185","0.002544999122619629","34949","0.5624560713768005","0.4813029766082764","0.5627518892288208","0.002705514430999756"
"sincos_100000.0","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19787","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.SINCOS","","0","SchedulerType.WARMUPEXP","100000","10","0","149","0.00001449676380431657","0.5765157341957092","0.479763388633728","0.5566877722740173","0.0032547712326049805","34949","0.5620547533035278","0.4811364710330963","0.5623494982719421","0.0034186840057373047"
"none","finished","-","jabareen","","2024-03-01T19:14:46.000Z","15204","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.NONE","1","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5704427361488342","0.480896532535553","0.5537853240966797","0.010685205459594728","34949","0.5618244409561157","0.48068538308143616","0.5616158246994019","0.01235729455947876"
"none","crashed","-","jabareen","","2024-03-01T10:28:27.000Z","86317","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.NONE","1","0","SchedulerType.WARMUPEXP","0","10","0","86","0.00009877608394766828","0.5456112623214722","0.4802354574203491","0.5530621409416199","0.00985044240951538","20042","0.5583841800689697","0.4790291488170624","0.5588065981864929","0.01169443130493164"
"learnable","crashed","-","jabareen","","2024-03-01T10:28:29.000Z","86317","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LEARNABLE","1","0","SchedulerType.WARMUPEXP","0","10","0","85","0.00010183101437903948","0.514473021030426","0.48525547981262207","0.5510041117668152","0.01611936092376709","20036","0.5560080409049988","0.4855428636074066","0.5563138127326965","0.018485307693481445"
"learnable","finished","-","jabareen","","2024-03-01T19:14:47.000Z","15203","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LEARNABLE","1","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5233365893363953","0.4847721755504608","0.5488982200622559","0.016778290271759033","34949","0.5542750954627991","0.4851219952106476","0.5545874834060669","0.018511712551116943"
"none","finished","-","jabareen","","2024-02-28T11:06:30.000Z","19770","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.NONE","","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5672401785850525","0.4873647093772888","0.5471422076225281","0.02034604549407959","34949","0.551934540271759","0.48786526918411255","0.5521933436393738","0.021417081356048584"
"learnable","finished","-","jabareen","","2024-02-28T11:06:33.000Z","19767","","32","16","true","0.33","false","0.001","ModelType.VIT_B","32","OptimizerType.SGD","ef","PosEncType.LEARNABLE","","0","SchedulerType.WARMUPEXP","0","10","0","149","0.00001449676380431657","0.5850845575332642","0.48614001274108887","0.5476119518280029","0.019374489784240723","34949","0.5507446527481079","0.4851973354816437","0.5507432222366333","0.01995140314102173"